PDF-compliant scoring report (Way-2 approximation) [Optimized v2]
Rule: valid iff |VE-VT| <= |VT|*2^(-2r), VE!=0, u!=0, v!=0

=== r = 1 ===
No  u           v           VE                 VT                 Score   Exact?
 57  0x80000000  0x00000EEE             -0.2500             -0.2500    2.0000  Y
 58  0x80000000  0x00000BBB             -0.2500             -0.2500    2.0000  Y
 59  0x80000000  0x00000AAA             -0.5000             -0.5000    3.0000  Y
 60  0x80000000  0x00000666             -0.2500             -0.2500    2.0000  Y
 61  0x80000000  0x00000333             -0.2500             -0.2500    2.0000  Y
 62  0x80000000  0x00000222              0.5000              0.5000    3.0000  Y
 63  0x80000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 64  0x90000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 65  0x90000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 66  0x90000000  0x00000DDD             -0.2500             -0.2500    2.0000  Y
 67  0x90000000  0x00000EEE             -0.5000             -0.5000    3.0000  Y
 68  0x90000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 69  0x90000000  0x00000AAA             -0.2500             -0.2500    2.0000  Y
 70  0x90000000  0x00000666              0.5000              0.5000    3.0000  Y
 71  0x90000000  0x00000333              0.2500              0.2500    2.0000  Y
 72  0x90000000  0x00000222             -0.2500             -0.2500    2.0000  Y
 73  0x90000000  0x00000555             -0.2500             -0.2500    2.0000  Y
 74  0xA0000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 75  0xA0000000  0x00000111              0.2500              0.2500    2.0000  Y
 76  0xA0000000  0x00000999              0.2500              0.2500    2.0000  Y
 77  0xA0000000  0x00000EEE             -0.2500             -0.2500    2.0000  Y
 78  0xA0000000  0x00000BBB             -0.2500             -0.2500    2.0000  Y
 79  0xA0000000  0x00000AAA              0.5000              0.5000    3.0000  Y
 80  0xA0000000  0x00000666             -0.2500             -0.2500    2.0000  Y
 81  0xA0000000  0x00000333             -0.2500             -0.2500    2.0000  Y
 82  0xA0000000  0x00000222             -0.5000             -0.5000    3.0000  Y
 83  0xA0000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 84  0xB0000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 85  0xB0000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 86  0xB0000000  0x00000DDD             -0.2500             -0.2500    2.0000  Y
 87  0xB0000000  0x00000EEE              0.5000              0.5000    3.0000  Y
 88  0xB0000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 89  0xB0000000  0x00000AAA             -0.2500             -0.2500    2.0000  Y
 90  0xB0000000  0x00000666             -0.5000             -0.5000    3.0000  Y
 91  0xB0000000  0x00000333              0.2500              0.2500    2.0000  Y
 92  0xB0000000  0x00000222             -0.2500             -0.2500    2.0000  Y
 93  0xB0000000  0x00000555             -0.2500             -0.2500    2.0000  Y
 94  0xC0000000  0x00000FFF             -0.5000             -0.5000    3.0000  Y
